like,authorLink,abstract,author,comments,link,viewers,time,title,tags
0人赞,/users/1597953772496508,Docker 有三个特定的功能，以帮助建立与环境无关的系统： 只读文件系统 环境变量注入 存储卷 处理卷是一个大主题，为了学习前两个功能，在本文的其余部分将改变对示例的需求。 WordPress 使用一个名为MySQL 的数据库程序来存储大部分数据，所以先确保运行WordPress 的容器是只读文件系统，是一个好主意。 1 只读文件系统 使用只读文件系统产生以下两个积极效果。首先，你对容器不能更...,博文视点,0人评论,/articles/66130,24人浏览,2016-12-09T16:14:12+08:00,用Docker构建与环境无关的系统,"docker,数据库,配置,docker-network,docker-book"
0人赞,/users/1304270972002834,"..., issues and lessons learnt during its use of Alibaba Cloud container services and Docker. Focusing on the impact of container technology on business production and the overall productivity, the prese...",Cloud Focus,0人评论,/articles/65326,98人浏览,2016-12-06T16:24:07+08:00,Docker for SME's: Watch Out for these Five Traps,"docker,Virtualization,container,Developer_blog,SME,Applications,Elastic_computing"
0人赞,/users/1429056118386139,...。持续交付、Docker技术、智能语音、机器学习、大数据工业智能，一切尽在云栖TechDay精华文章合集。 从技术雷达看持续交付 应用Docker进行持续交付：用技术改变交付路程 持续交付背后的故事：重构性格成为优秀的叛逆者 从两创看新常态下互联网金融的发展趋势 由云上的创业生态看未来创业走向 数据智能时代，语音交互将是第一爆发领域 性能魔方：大规模企业该如何应对应用性能挑战 阿里云机器学习平台—...,场景研读,0人评论,/articles/66145,23人浏览,2016-12-10T10:26:28+08:00,云栖TechDay精华文章合集,"大数据,docker,阿里云,创业,人工智能,应用性能,持续交付,钉钉,医疗,机器人,插件,自动化测试"
8人赞,/users/1335919212075581,...。 Docker提供了官方的Maven镜像可以用于管理和构建Java应用。与直接安装使用Maven工具相比，使用Docker镜像具有更好的可移植性，可以方便地进行版本切换，非常适合在持续集成过程中使用。 关于Maven官方镜像的用法可以参考使用文档 使用阿里云加速 Maven官方仓库在国内网络下的下载速度实在是让人欲哭无泪，利用阿里云的Maven镜像可以大大提升软件包下载速度。 我们可以在官方Ma...,易立,0人评论,/articles/65274,1476人浏览,2016-12-04T21:55:07+08:00,Maven Docker镜像使用技巧,"docker,阿里云,阿里云容器服务,HTTPS,配置,镜像,容器,Maven,aliyun,Registry,github,dockerfile"
3人赞,/users/1253799960553431,...，我们已经可以通过命令行mydocker run -ti的方式创建并启动容器，这一节我们将通过Cgroup对容器的资源进行控制。 这一节中我们将实现通过mydocker run -ti -m 100m -cpuset 1 -cpushare 512 /bin/sh的方式控制容器容器的内存和CPU配置。 定义Cgroups的数据结构 上一章中我们介绍了Cgroups包含的三个概念： cgroup h...,csome,0人评论,/articles/65285,373人浏览,2016-12-05T10:08:06+08:00,《自己动手写Docker》书摘之五： 增加容器资源限制,"docker,path,容器,string,cgroup"
0人赞,/users/1387812469500475,"Docker介绍 30%故障原因是配置漂移？ 50%用户希望通过容器技术实现上云？ Docker发展背景：云计算，微服务架构，Devops 编排 Docker Compose弱点：管部署不管运维 Docker Swamp, Multiple Docker Engine. CAAS Containers as a Service（CaaS） Build -〉 SHIP -〉RUN 持续集成，持续测试...",北风之王,0人评论,/articles/65263,73人浏览,2016-12-04T12:43:00+08:00,“云上应用Docker化持续交付与微服务实践“笔记,"架构,docker,阿里云,数据库,配置,微服务,持续集成,容器,测试,持续交付,devOps,CaaS,service"
3人赞,/users/1335919212075581,本文为利用Docker和容器服￼务轻松实现云原生应用系列的第二篇 高可用架构设计 Spring Boot + Redis分布式会话 （本文） 前文谈到了云原生应用在部署架构中需要考虑的重要问题。文本将介绍一个常见的应用架构模式来提升应用的可用性和可伸缩性 - 分布式会话管理。 随着业务增长，Web应用也从单节点部署演变为集群部署。这时候除了需要为应用服务器增加负载均衡之外，也要解决会话（sess...,易立,0人评论,/articles/65272,593人浏览,2016-12-04T18:56:49+08:00,利用Docker轻松实现云原生应用: Spring Boot + Redis分布式会话,"分布式,redis,docker,阿里云,阿里云容器服务,HTTPS,高可用,spring,web,镜像,springboot,云原生,云原生应用"
2人赞,/users/1985862412966906,...。 Docker是如何使用AUFS的 AUFS是Docker选用的第一种存储驱动。AUFS具有快速启动容器，高效利用存储和内存的优点，直到现在AUFS仍然是Docker支持的一种存储驱动类型。接下来我们要介绍Docker是如何利用AUFS存储images和containers的。 image layer和AUFS 每一个Docker image都是由一系列的read-only layers组成。i...,嫀嫀,0人评论,/articles/65034,399人浏览,2016-11-28T21:01:58+08:00,《自己动手写Docker》书摘之三： Linux UnionFS,"docker,镜像,容器,Image,存储,UFS,AUFS"
0人赞,/users/1963062343620296,...，所以从Docker入手，下面介绍一下在Windows下怎么玩转Docker。 Docker本身在Windows下有两个软件，一个就是Docker，另一个是Docker Toolbox。这里我选择的是Docker Toolbox，为什么呢？参见官方文档： https://blog.docker.com/2015/08/docker-toolbox/ 首先我们从官网下载最新版的Windows Doc...,devinzeng,0人评论,/articles/65076,74人浏览,2016-11-29T13:29:29+08:00,在Windows中玩转Docker Toolbox,"大数据,docker,阿里云,mysql,windows,镜像,容器,磁盘"
0人赞,/users/1801442045839372,....install docker 1.前置条件 docker只支持64bit的centos，并且kernel必须高于3.10，使用如下命令查看kernel版本 uname -r 公有云上使用的centos 7 内核是可以使用docker的: 3.10.0-327.28.3.el7.x86_64 2.安装 首先升级或者卸载默认的docker rpm -qa | grep docker 发现有如下两个r...,不三,0人评论,/articles/64979,62人浏览,2016-11-28T14:07:18+08:00,如何在HPC公有云上使用docker,"linux,docker,HTTPS,阿里技术协会,yum,配置,centos,rpm,kernel,nvidia-docker,公有云HPC,ML"
